Driver,FisingPosition,GridPosition,FinialStatus
VET,1.0,2.0,Finished
HAM,2.0,1.0,Finished
VER,3.0,7.0,Finished
BOT,4.0,19.0,Finished
PER,5.0,4.0,Finished
OCO,6.0,3.0,Finished
GRO,7.0,5.0,Finished
MAG,8.0,9.0,Finished
GAS,9.0,10.0,Finished
ERI,10.0,13.0,+1 Lap
SAI,11.0,14.0,+1 Lap
SIR,12.0,16.0,+1 Lap
STR,13.0,17.0,+1 Lap
HAR,14.0,11.0,+1 Lap
VAN,15.0,18.0,+1 Lap
RIC,16.0,8.0,Retired
RAI,17.0,6.0,Brakes
LEC,18.0,12.0,Accident
ALO,19.0,15.0,Accident
HUL,20.0,20.0,Accident
