Driver,FisingPosition,GridPosition,FinialStatus
LEC,1.0,1.0,Finished
HAM,2.0,3.0,Finished
BOT,3.0,4.0,Finished
VET,4.0,2.0,Finished
ALB,5.0,17.0,Finished
PER,6.0,7.0,Finished
KVY,7.0,19.0,Finished
HUL,8.0,12.0,Finished
GAS,9.0,13.0,Finished
STR,10.0,16.0,Finished
NOR,11.0,11.0,Engine
MAG,12.0,8.0,+1 Lap
GRO,13.0,9.0,+1 Lap
RIC,14.0,10.0,+1 Lap
RUS,15.0,14.0,+1 Lap
RAI,16.0,6.0,+1 Lap
KUB,17.0,0.0,+1 Lap
GIO,18.0,18.0,Accident
SAI,19.0,15.0,Power loss
VER,20.0,5.0,Accident
