Driver,FisingPosition,GridPosition,FinialStatus
HAM,1.0,1.0,Finished
BOT,2.0,2.0,Finished
VER,3.0,3.0,Finished
RIC,4.0,4.0,Finished
OCO,5.0,6.0,Finished
ALB,6.0,5.0,Finished
NOR,7.0,10.0,Finished
GAS,8.0,12.0,Finished
STR,9.0,9.0,Finished
PER,10.0,8.0,Finished
KVY,11.0,11.0,Finished
RAI,12.0,16.0,Finished
VET,13.0,14.0,Finished
LEC,14.0,13.0,Finished
GRO,15.0,17.0,Finished
LAT,16.0,19.0,Finished
MAG,17.0,20.0,Finished
GIO,18.0,18.0,Accident
RUS,19.0,15.0,Debris
SAI,20.0,7.0,Exhaust
