Driver,FisingPosition,GridPosition,FinialStatus
VER,1.0,1.0,Finished
RUS,2.0,2.0,Finished
HAM,3.0,3.0,Finished
RIC,4.0,4.0,Finished
VET,5.0,5.0,Finished
GAS,6.0,6.0,Finished
OCO,7.0,8.0,Finished
LEC,8.0,9.0,Finished
LAT,9.0,10.0,Finished
SAI,10.0,11.0,Finished
ALO,11.0,12.0,Finished
BOT,12.0,13.0,Finished
GIO,13.0,14.0,Finished
NOR,14.0,15.0,Finished
TSU,15.0,16.0,Finished
MSC,16.0,17.0,Finished
MAZ,17.0,18.0,Finished
RAI,18.0,0.0,Finished
PER,19.0,0.0,Finished
STR,20.0,19.0,Finished
