Driver,Team
VET,Ferrari
HAM,Mercedes
VER,Red Bull Racing
BOT,Mercedes
PER,Racing Point
OCO,Racing Point
GRO,Haas F1 Team
MAG,Haas F1 Team
GAS,Toro Rosso
ERI,Sauber
SAI,Renault
SIR,Williams
STR,Williams
HAR,Toro Rosso
VAN,McLaren
RIC,Red Bull Racing
RAI,Ferrari
LEC,Sauber
ALO,McLaren
HUL,Renault
