Driver,Team
HAM,Mercedes
PIA,McLaren
LEC,Ferrari
VER,Red Bull Racing
NOR,McLaren
SAI,Ferrari
PER,Red Bull Racing
ALO,Aston Martin
OCO,Alpine
RIC,RB
STR,Aston Martin
ALB,Williams
GAS,Alpine
MAG,Haas F1 Team
BOT,Kick Sauber
TSU,RB
SAR,Williams
HUL,Haas F1 Team
ZHO,Kick Sauber
RUS,Mercedes
