Driver,Team
GAS,Toro Rosso
PER,Racing Point
LEC,Ferrari
STR,Racing Point
MAG,Haas F1 Team
ALB,Red Bull Racing
KVY,Toro Rosso
HUL,Renault
RIC,Renault
VER,Red Bull Racing
NOR,McLaren
HAM,Mercedes
VET,Ferrari
SAI,McLaren
RUS,Williams
RAI,Alfa Romeo Racing
BOT,Mercedes
GRO,Haas F1 Team
KUB,Williams
GIO,Alfa Romeo Racing
