Driver,Team
VER,Red Bull Racing
PER,Red Bull Racing
LEC,Ferrari
HAM,Mercedes
ALO,Aston Martin
RUS,Mercedes
NOR,McLaren
OCO,Alpine
STR,Aston Martin
TSU,AlphaTauri
GAS,Alpine
BOT,Alfa Romeo
ZHO,Alfa Romeo
ALB,Williams
MAG,Haas F1 Team
RIC,AlphaTauri
SAR,Williams
HUL,Haas F1 Team
SAI,Ferrari
PIA,McLaren
