LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
3.0,VER,0 days 04:26:04.656000,1.0,0 days 04:16:05.434000,-1 days +23:50:00.778000
3.0,RUS,0 days 04:26:06.501000,1.0,0 days 04:16:08.396000,-1 days +23:50:01.895000
3.0,HAM,0 days 04:26:08.180000,1.0,0 days 04:16:11.245000,-1 days +23:50:03.065000
3.0,RIC,0 days 04:26:11.601000,1.0,0 days 04:16:14.826000,-1 days +23:50:03.225000
3.0,VET,0 days 04:26:14.189000,1.0,0 days 04:16:19.164000,-1 days +23:50:04.975000
3.0,GAS,0 days 04:26:17.408000,1.0,0 days 04:16:22.073000,-1 days +23:50:04.665000
3.0,OCO,0 days 04:26:18.895000,1.0,0 days 04:16:26.148000,-1 days +23:50:07.253000
3.0,LEC,0 days 04:26:20.329000,1.0,0 days 04:16:29.578000,-1 days +23:50:09.249000
3.0,LAT,0 days 04:26:22.131000,1.0,0 days 04:16:33.050000,-1 days +23:50:10.919000
3.0,SAI,0 days 04:26:24.348000,1.0,0 days 04:16:35.238000,-1 days +23:50:10.890000
3.0,ALO,0 days 04:26:26.782000,1.0,0 days 04:16:41.190000,-1 days +23:50:14.408000
3.0,BOT,0 days 04:26:28.946000,1.0,0 days 04:16:43.184000,-1 days +23:50:14.238000
3.0,GIO,0 days 04:26:31.060000,1.0,0 days 04:16:47.072000,-1 days +23:50:16.012000
3.0,NOR,0 days 04:26:33.054000,1.0,0 days 04:16:56.766000,-1 days +23:50:23.712000
3.0,TSU,0 days 04:26:34.955000,1.0,0 days 04:16:58.998000,-1 days +23:50:24.043000
3.0,MSC,0 days 04:26:37.027000,1.0,0 days 04:17:01.700000,-1 days +23:50:24.673000
3.0,MAZ,0 days 04:26:39.604000,1.0,0 days 04:17:04.610000,-1 days +23:50:25.006000
3.0,RAI,0 days 04:26:45.626000,1.0,0 days 04:17:11.663000,-1 days +23:50:26.037000
3.0,PER,0 days 04:26:48.509000,1.0,0 days 04:17:11.788000,-1 days +23:50:23.279000
3.0,STR,0 days 04:26:41.724000,1.0,0 days 04:17:06.785000,-1 days +23:50:25.061000
