LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration,Season
26.0,GAS,0 days 01:25:44.477000,27.0,0 days 01:26:07.159000,0 days 00:00:22.682000,2020
18.0,PER,0 days 01:11:01.769000,19.0,0 days 01:11:25.175000,0 days 00:00:23.406000,2020
10.0,LEC,0 days 00:52:40.963000,11.0,0 days 00:53:11.642000,0 days 00:00:30.679000,2020
24.0,LEC,0 days 01:22:10.850000,25.0,0 days 01:22:35.991000,0 days 00:00:25.141000,2020
11.0,STR,0 days 00:54:58.889000,12.0,0 days 00:55:22.591000,0 days 00:00:23.702000,2020
10.0,MAG,0 days 00:53:00.537000,11.0,0 days 00:53:23.734000,0 days 00:00:23.197000,2020
35.0,MAG,0 days 01:42:34.234000,36.0,0 days 01:42:58.599000,0 days 00:00:24.365000,2020
11.0,ALB,0 days 00:54:56.152000,12.0,0 days 00:55:18.838000,0 days 00:00:22.686000,2020
11.0,KVY,0 days 00:55:10.379000,12.0,0 days 00:55:34.098000,0 days 00:00:23.719000,2020
11.0,RIC,0 days 00:54:49.940000,12.0,0 days 00:55:13.849000,0 days 00:00:23.909000,2020
11.0,OCO,0 days 00:54:55.185000,12.0,0 days 00:55:19.481000,0 days 00:00:24.296000,2020
11.0,VER,0 days 00:54:40.839000,12.0,0 days 00:55:04.012000,0 days 00:00:23.173000,2020
11.0,NOR,0 days 00:55:05.657000,12.0,0 days 00:55:28.678000,0 days 00:00:23.021000,2020
11.0,HAM,0 days 00:54:34.226000,12.0,0 days 00:54:57.469000,0 days 00:00:23.243000,2020
11.0,VET,0 days 00:55:12.958000,12.0,0 days 00:55:35.952000,0 days 00:00:22.994000,2020
10.0,LAT,0 days 00:53:00.681000,11.0,0 days 00:53:24.422000,0 days 00:00:23.741000,2020
30.0,LAT,0 days 01:33:23.350000,31.0,0 days 01:33:46.853000,0 days 00:00:23.503000,2020
10.0,RAI,0 days 00:52:46.554000,11.0,0 days 00:53:09.423000,0 days 00:00:22.869000,2020
11.0,BOT,0 days 00:54:38.087000,12.0,0 days 00:55:03.554000,0 days 00:00:25.467000,2020
10.0,GRO,0 days 00:52:52.255000,11.0,0 days 00:53:15.920000,0 days 00:00:23.665000,2020
