LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
2.0,VAN,0 days 00:24:22.819000,29.0,0 days 01:15:33.233000,0 days 00:51:10.414000
28.0,VAN,0 days 01:15:09.827000,2.0,0 days 00:21:41.650000,-1 days +23:06:31.823000
28.0,VAN,0 days 01:15:09.827000,3.0,0 days 00:24:45.660000,-1 days +23:09:35.833000
28.0,VAN,0 days 01:15:09.827000,29.0,0 days 01:15:33.233000,0 days 00:00:23.406000
1.0,RIC,0 days 00:21:15.463000,2.0,0 days 00:27:51.251000,0 days 00:06:35.788000
28.0,RIC,0 days 01:18:06.433000,2.0,0 days 00:27:51.251000,-1 days +23:09:44.818000
1.0,RAI,0 days 00:21:58.335000,2.0,0 days 00:22:24.560000,0 days 00:00:26.225000
1.0,RAI,0 days 00:21:58.335000,8.0,0 days 00:36:26.391000,0 days 00:14:28.056000
7.0,RAI,0 days 00:35:51.921000,2.0,0 days 00:22:24.560000,-1 days +23:46:32.639000
7.0,RAI,0 days 00:35:51.921000,8.0,0 days 00:36:26.391000,0 days 00:00:34.470000
8.0,RAI,0 days 00:38:23.994000,2.0,0 days 00:22:24.560000,-1 days +23:44:00.566000
8.0,RAI,0 days 00:38:23.994000,8.0,0 days 00:36:26.391000,-1 days +23:58:02.397000
