LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
1.0,VET,0 days 00:21:00.165000,2.0,0 days 00:21:19.726000,0 days 00:00:19.561000
1.0,VET,0 days 00:21:00.165000,23.0,0 days 01:02:56.048000,0 days 00:41:55.883000
22.0,VET,0 days 01:02:33.922000,2.0,0 days 00:21:19.726000,-1 days +23:18:45.804000
22.0,VET,0 days 01:02:33.922000,23.0,0 days 01:02:56.048000,0 days 00:00:22.126000
1.0,HAM,0 days 00:21:01.945000,2.0,0 days 00:21:21.336000,0 days 00:00:19.391000
1.0,HAM,0 days 00:21:01.945000,22.0,0 days 01:01:11.181000,0 days 00:40:09.236000
21.0,HAM,0 days 01:00:48.913000,2.0,0 days 00:21:21.336000,-1 days +23:20:32.423000
21.0,HAM,0 days 01:00:48.913000,22.0,0 days 01:01:11.181000,0 days 00:00:22.268000
1.0,VER,0 days 00:21:05.134000,2.0,0 days 00:21:24.999000,0 days 00:00:19.865000
1.0,VER,0 days 00:21:05.134000,27.0,0 days 01:10:30.975000,0 days 00:49:25.841000
26.0,VER,0 days 01:10:08.725000,2.0,0 days 00:21:24.999000,-1 days +23:11:16.274000
26.0,VER,0 days 01:10:08.725000,27.0,0 days 01:10:30.975000,0 days 00:00:22.250000
1.0,BOT,0 days 00:21:20.298000,2.0,0 days 00:21:40.510000,0 days 00:00:20.212000
1.0,BOT,0 days 00:21:20.298000,3.0,0 days 00:24:52.320000,0 days 00:03:32.022000
1.0,BOT,0 days 00:21:20.298000,30.0,0 days 01:16:26.159000,0 days 00:55:05.861000
2.0,BOT,0 days 00:24:21.912000,2.0,0 days 00:21:40.510000,-1 days +23:57:18.598000
2.0,BOT,0 days 00:24:21.912000,3.0,0 days 00:24:52.320000,0 days 00:00:30.408000
2.0,BOT,0 days 00:24:21.912000,30.0,0 days 01:16:26.159000,0 days 00:52:04.247000
29.0,BOT,0 days 01:16:03.877000,2.0,0 days 00:21:40.510000,-1 days +23:05:36.633000
29.0,BOT,0 days 01:16:03.877000,3.0,0 days 00:24:52.320000,-1 days +23:08:48.443000
29.0,BOT,0 days 01:16:03.877000,30.0,0 days 01:16:26.159000,0 days 00:00:22.282000
1.0,PER,0 days 00:21:02.944000,2.0,0 days 00:21:22.822000,0 days 00:00:19.878000
1.0,PER,0 days 00:21:02.944000,26.0,0 days 01:09:02.500000,0 days 00:47:59.556000
25.0,PER,0 days 01:08:39.450000,2.0,0 days 00:21:22.822000,-1 days +23:12:43.372000
25.0,PER,0 days 01:08:39.450000,26.0,0 days 01:09:02.500000,0 days 00:00:23.050000
1.0,OCO,0 days 00:21:03.850000,2.0,0 days 00:21:23.399000,0 days 00:00:19.549000
1.0,OCO,0 days 00:21:03.850000,25.0,0 days 01:07:18.414000,0 days 00:46:14.564000
24.0,OCO,0 days 01:06:55.302000,2.0,0 days 00:21:23.399000,-1 days +23:14:28.097000
24.0,OCO,0 days 01:06:55.302000,25.0,0 days 01:07:18.414000,0 days 00:00:23.112000
1.0,GRO,0 days 00:21:06.226000,2.0,0 days 00:21:26.368000,0 days 00:00:20.142000
1.0,GRO,0 days 00:21:06.226000,24.0,0 days 01:05:34.373000,0 days 00:44:28.147000
23.0,GRO,0 days 01:05:11.855000,2.0,0 days 00:21:26.368000,-1 days +23:16:14.513000
23.0,GRO,0 days 01:05:11.855000,24.0,0 days 01:05:34.373000,0 days 00:00:22.518000
1.0,MAG,0 days 00:21:07.835000,2.0,0 days 00:21:27.758000,0 days 00:00:19.923000
1.0,MAG,0 days 00:21:07.835000,27.0,0 days 01:11:14.478000,0 days 00:50:06.643000
26.0,MAG,0 days 01:10:50.306000,2.0,0 days 00:21:27.758000,-1 days +23:10:37.452000
26.0,MAG,0 days 01:10:50.306000,27.0,0 days 01:11:14.478000,0 days 00:00:24.172000
1.0,GAS,0 days 00:21:09.867000,2.0,0 days 00:21:29.870000,0 days 00:00:20.003000
1.0,GAS,0 days 00:21:09.867000,26.0,0 days 01:09:26.486000,0 days 00:48:16.619000
25.0,GAS,0 days 01:09:03.670000,2.0,0 days 00:21:29.870000,-1 days +23:12:26.200000
25.0,GAS,0 days 01:09:03.670000,26.0,0 days 01:09:26.486000,0 days 00:00:22.816000
1.0,ERI,0 days 00:21:11.617000,2.0,0 days 00:21:31.321000,0 days 00:00:19.704000
1.0,ERI,0 days 00:21:11.617000,27.0,0 days 01:11:18.557000,0 days 00:50:06.940000
26.0,ERI,0 days 01:10:55.994000,2.0,0 days 00:21:31.321000,-1 days +23:10:35.327000
26.0,ERI,0 days 01:10:55.994000,27.0,0 days 01:11:18.557000,0 days 00:00:22.563000
1.0,SAI,0 days 00:21:18.602000,2.0,0 days 00:21:37.025000,0 days 00:00:18.423000
1.0,SAI,0 days 00:21:18.602000,23.0,0 days 01:04:09.179000,0 days 00:42:50.577000
22.0,SAI,0 days 01:03:45.427000,2.0,0 days 00:21:37.025000,-1 days +23:17:51.598000
22.0,SAI,0 days 01:03:45.427000,23.0,0 days 01:04:09.179000,0 days 00:00:23.752000
1.0,SIR,0 days 00:21:12.992000,2.0,0 days 00:21:32.573000,0 days 00:00:19.581000
1.0,SIR,0 days 00:21:12.992000,25.0,0 days 01:07:45.587000,0 days 00:46:32.595000
24.0,SIR,0 days 01:07:23.399000,2.0,0 days 00:21:32.573000,-1 days +23:14:09.174000
24.0,SIR,0 days 01:07:23.399000,25.0,0 days 01:07:45.587000,0 days 00:00:22.188000
1.0,STR,0 days 00:21:14.008000,2.0,0 days 00:21:33.635000,0 days 00:00:19.627000
1.0,STR,0 days 00:21:14.008000,24.0,0 days 01:05:57.252000,0 days 00:44:43.244000
23.0,STR,0 days 01:05:34.405000,2.0,0 days 00:21:33.635000,-1 days +23:15:59.230000
23.0,STR,0 days 01:05:34.405000,24.0,0 days 01:05:57.252000,0 days 00:00:22.847000
1.0,HAR,0 days 00:21:17.227000,2.0,0 days 00:21:35.183000,0 days 00:00:17.956000
1.0,HAR,0 days 00:21:17.227000,32.0,0 days 01:20:59.024000,0 days 00:59:41.797000
31.0,HAR,0 days 01:20:30.195000,2.0,0 days 00:21:35.183000,-1 days +23:01:04.988000
31.0,HAR,0 days 01:20:30.195000,32.0,0 days 01:20:59.024000,0 days 00:00:28.829000
1.0,VAN,0 days 00:21:21.913000,2.0,0 days 00:21:41.650000,0 days 00:00:19.737000
1.0,VAN,0 days 00:21:21.913000,3.0,0 days 00:24:45.660000,0 days 00:03:23.747000
1.0,VAN,0 days 00:21:21.913000,29.0,0 days 01:15:33.233000,0 days 00:54:11.320000
2.0,VAN,0 days 00:24:22.819000,2.0,0 days 00:21:41.650000,-1 days +23:57:18.831000
2.0,VAN,0 days 00:24:22.819000,3.0,0 days 00:24:45.660000,0 days 00:00:22.841000
