LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration,Season
11.0,HAM,0 days 01:15:24.524000,12.0,0 days 01:15:47.722000,0 days 00:00:23.198000,2024
26.0,HAM,0 days 01:42:46.977000,27.0,0 days 01:43:09.642000,0 days 00:00:22.665000,2024
11.0,PIA,0 days 01:15:30.513000,12.0,0 days 01:15:53.197000,0 days 00:00:22.684000,2024
30.0,PIA,0 days 01:50:01.410000,31.0,0 days 01:50:25.654000,0 days 00:00:24.244000,2024
12.0,LEC,0 days 01:17:16.307000,13.0,0 days 01:17:39.684000,0 days 00:00:23.377000,2024
25.0,LEC,0 days 01:41:01.845000,26.0,0 days 01:41:25.239000,0 days 00:00:23.394000,2024
10.0,VER,0 days 01:13:44.188000,11.0,0 days 01:14:07.325000,0 days 00:00:23.137000,2024
28.0,VER,0 days 01:46:33.171000,29.0,0 days 01:46:56.099000,0 days 00:00:22.928000,2024
15.0,NOR,0 days 01:22:52.183000,16.0,0 days 01:23:14.930000,0 days 00:00:22.747000,2024
29.0,NOR,0 days 01:48:21.728000,30.0,0 days 01:48:44.341000,0 days 00:00:22.613000,2024
20.0,SAI,0 days 01:31:56.204000,21.0,0 days 01:32:19.120000,0 days 00:00:22.916000,2024
28.0,SAI,0 days 01:46:39.831000,29.0,0 days 01:47:02.859000,0 days 00:00:23.028000,2024
11.0,PER,0 days 01:15:29.327000,12.0,0 days 01:15:51.964000,0 days 00:00:22.637000,2024
21.0,PER,0 days 01:33:57.247000,22.0,0 days 01:34:19.799000,0 days 00:00:22.552000,2024
42.0,PER,0 days 02:12:03.159000,43.0,0 days 02:12:25.875000,0 days 00:00:22.716000,2024
13.0,ALO,0 days 01:19:21.309000,14.0,0 days 01:19:44.425000,0 days 00:00:23.116000,2024
12.0,OCO,0 days 01:17:33.929000,13.0,0 days 01:17:57.376000,0 days 00:00:23.447000,2024
30.0,OCO,0 days 01:50:37.251000,31.0,0 days 01:51:00.755000,0 days 00:00:23.504000,2024
8.0,RIC,0 days 01:10:12.248000,9.0,0 days 01:10:34.905000,0 days 00:00:22.657000,2024
21.0,RIC,0 days 01:34:17.897000,22.0,0 days 01:34:40.128000,0 days 00:00:22.231000,2024
12.0,STR,0 days 01:17:37.710000,13.0,0 days 01:18:00.594000,0 days 00:00:22.884000,2024
8.0,ALB,0 days 01:10:08.481000,9.0,0 days 01:10:31.974000,0 days 00:00:23.493000,2024
23.0,ALB,0 days 01:37:56.919000,24.0,0 days 01:38:19.799000,0 days 00:00:22.880000,2024
9.0,GAS,0 days 01:12:02.376000,10.0,0 days 01:12:25.393000,0 days 00:00:23.017000,2024
28.0,GAS,0 days 01:47:08.463000,29.0,0 days 01:47:31.325000,0 days 00:00:22.862000,2024
17.0,MAG,0 days 01:26:55.467000,18.0,0 days 01:27:19.047000,0 days 00:00:23.580000,2024
11.0,BOT,0 days 01:15:44.704000,12.0,0 days 01:16:07.900000,0 days 00:00:23.196000,2024
35.0,BOT,0 days 01:59:53.568000,36.0,0 days 02:00:16.644000,0 days 00:00:23.076000,2024
15.0,TSU,0 days 01:23:18.188000,16.0,0 days 01:23:41.611000,0 days 00:00:23.423000,2024
8.0,SAR,0 days 01:10:17.618000,9.0,0 days 01:10:40.885000,0 days 00:00:23.267000,2024
24.0,SAR,0 days 01:40:08.936000,25.0,0 days 01:40:32.510000,0 days 00:00:23.574000,2024
7.0,HUL,0 days 01:08:23.041000,8.0,0 days 01:08:46.598000,0 days 00:00:23.557000,2024
20.0,HUL,0 days 01:32:34.881000,21.0,0 days 01:32:58.220000,0 days 00:00:23.339000,2024
10.0,RUS,0 days 01:13:41.725000,11.0,0 days 01:14:04.409000,0 days 00:00:22.684000,2024
