LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
14.0,VER,0 days 01:29:04.112000,15.0,0 days 01:29:27.018000,0 days 00:00:22.906000
14.0,VER,0 days 01:29:04.112000,31.0,0 days 01:59:38.280000,0 days 00:30:34.168000
30.0,VER,0 days 01:59:15.280000,15.0,0 days 01:29:27.018000,-1 days +23:30:11.738000
30.0,VER,0 days 01:59:15.280000,31.0,0 days 01:59:38.280000,0 days 00:00:23
13.0,PER,0 days 01:27:09.114000,14.0,0 days 01:27:32.801000,0 days 00:00:23.687000
13.0,PER,0 days 01:27:09.114000,30.0,0 days 01:57:56.062000,0 days 00:30:46.948000
29.0,PER,0 days 01:57:33.375000,14.0,0 days 01:27:32.801000,-1 days +23:29:59.426000
29.0,PER,0 days 01:57:33.375000,30.0,0 days 01:57:56.062000,0 days 00:00:22.687000
13.0,LEC,0 days 01:27:15.317000,14.0,0 days 01:27:38.535000,0 days 00:00:23.218000
13.0,LEC,0 days 01:27:15.317000,29.0,0 days 01:56:10.532000,0 days 00:28:55.215000
28.0,LEC,0 days 01:55:47.360000,14.0,0 days 01:27:38.535000,-1 days +23:31:51.175000
28.0,LEC,0 days 01:55:47.360000,29.0,0 days 01:56:10.532000,0 days 00:00:23.172000
12.0,HAM,0 days 01:25:26.568000,13.0,0 days 01:25:49.661000,0 days 00:00:23.093000
12.0,HAM,0 days 01:25:26.568000,28.0,0 days 01:54:22.174000,0 days 00:28:55.606000
12.0,HAM,0 days 01:25:26.568000,43.0,0 days 02:22:27.483000,0 days 00:57:00.915000
27.0,HAM,0 days 01:53:59.127000,13.0,0 days 01:25:49.661000,-1 days +23:31:50.534000
27.0,HAM,0 days 01:53:59.127000,28.0,0 days 01:54:22.174000,0 days 00:00:23.047000
27.0,HAM,0 days 01:53:59.127000,43.0,0 days 02:22:27.483000,0 days 00:28:28.356000
42.0,HAM,0 days 02:22:04.327000,13.0,0 days 01:25:49.661000,-1 days +23:03:45.334000
42.0,HAM,0 days 02:22:04.327000,28.0,0 days 01:54:22.174000,-1 days +23:32:17.847000
42.0,HAM,0 days 02:22:04.327000,43.0,0 days 02:22:27.483000,0 days 00:00:23.156000
10.0,ALO,0 days 01:21:47.539000,11.0,0 days 01:22:10.664000,0 days 00:00:23.125000
10.0,ALO,0 days 01:21:47.539000,30.0,0 days 01:58:24.468000,0 days 00:36:36.929000
29.0,ALO,0 days 01:58:00.656000,11.0,0 days 01:22:10.664000,-1 days +23:24:10.008000
29.0,ALO,0 days 01:58:00.656000,30.0,0 days 01:58:24.468000,0 days 00:00:23.812000
22.0,RUS,0 days 01:44:59.883000,23.0,0 days 01:45:23.711000,0 days 00:00:23.828000
5.0,NOR,0 days 01:12:26.655000,6.0,0 days 01:12:51.639000,0 days 00:00:24.984000
5.0,NOR,0 days 01:12:26.655000,18.0,0 days 01:36:00.389000,0 days 00:23:33.734000
17.0,NOR,0 days 01:35:36.639000,6.0,0 days 01:12:51.639000,-1 days +23:37:15
17.0,NOR,0 days 01:35:36.639000,18.0,0 days 01:36:00.389000,0 days 00:00:23.750000
6.0,OCO,0 days 01:14:23.044000,7.0,0 days 01:14:46.122000,0 days 00:00:23.078000
6.0,OCO,0 days 01:14:23.044000,26.0,0 days 01:51:13.113000,0 days 00:36:50.069000
25.0,OCO,0 days 01:50:49.770000,7.0,0 days 01:14:46.122000,-1 days +23:23:56.352000
25.0,OCO,0 days 01:50:49.770000,26.0,0 days 01:51:13.113000,0 days 00:00:23.343000
20.0,STR,0 days 01:41:11.885000,21.0,0 days 01:41:37.213000,0 days 00:00:25.328000
9.0,TSU,0 days 01:19:58.197000,10.0,0 days 01:20:20.821000,0 days 00:00:22.624000
9.0,TSU,0 days 01:19:58.197000,25.0,0 days 01:49:14.411000,0 days 00:29:16.214000
24.0,TSU,0 days 01:48:51.662000,10.0,0 days 01:20:20.821000,-1 days +23:31:29.159000
24.0,TSU,0 days 01:48:51.662000,25.0,0 days 01:49:14.411000,0 days 00:00:22.749000
23.0,GAS,0 days 01:46:59.804000,24.0,0 days 01:47:25.460000,0 days 00:00:25.656000
6.0,BOT,0 days 01:14:23.935000,7.0,0 days 01:14:47.325000,0 days 00:00:23.390000
6.0,BOT,0 days 01:14:23.935000,25.0,0 days 01:49:25.443000,0 days 00:35:01.508000
24.0,BOT,0 days 01:49:01.630000,7.0,0 days 01:14:47.325000,-1 days +23:25:45.695000
24.0,BOT,0 days 01:49:01.630000,25.0,0 days 01:49:25.443000,0 days 00:00:23.813000
7.0,ZHO,0 days 01:16:20.480000,8.0,0 days 01:16:44.902000,0 days 00:00:24.422000
7.0,ZHO,0 days 01:16:20.480000,26.0,0 days 01:51:24.629000,0 days 00:35:04.149000
25.0,ZHO,0 days 01:51:00.598000,8.0,0 days 01:16:44.902000,-1 days +23:25:44.304000
25.0,ZHO,0 days 01:51:00.598000,26.0,0 days 01:51:24.629000,0 days 00:00:24.031000
7.0,ALB,0 days 01:16:13.652000,8.0,0 days 01:16:38.667000,0 days 00:00:25.015000
7.0,ALB,0 days 01:16:13.652000,24.0,0 days 01:47:25.210000,0 days 00:31:11.558000
7.0,ALB,0 days 01:16:13.652000,34.0,0 days 02:06:29.197000,0 days 00:50:15.545000
23.0,ALB,0 days 01:47:01.600000,8.0,0 days 01:16:38.667000,-1 days +23:29:37.067000
23.0,ALB,0 days 01:47:01.600000,24.0,0 days 01:47:25.210000,0 days 00:00:23.610000
23.0,ALB,0 days 01:47:01.600000,34.0,0 days 02:06:29.197000,0 days 00:19:27.597000
33.0,ALB,0 days 02:06:05.650000,8.0,0 days 01:16:38.667000,-1 days +23:10:33.017000
33.0,ALB,0 days 02:06:05.650000,24.0,0 days 01:47:25.210000,-1 days +23:41:19.560000
33.0,ALB,0 days 02:06:05.650000,34.0,0 days 02:06:29.197000,0 days 00:00:23.547000
5.0,MAG,0 days 01:12:29.967000,6.0,0 days 01:12:53.607000,0 days 00:00:23.640000
5.0,MAG,0 days 01:12:29.967000,26.0,0 days 01:51:17.816000,0 days 00:38:47.849000
25.0,MAG,0 days 01:50:54.317000,6.0,0 days 01:12:53.607000,-1 days +23:21:59.290000
25.0,MAG,0 days 01:50:54.317000,26.0,0 days 01:51:17.816000,0 days 00:00:23.499000
5.0,RIC,0 days 01:12:30.623000,6.0,0 days 01:12:53.482000,0 days 00:00:22.859000
5.0,RIC,0 days 01:12:30.623000,23.0,0 days 01:45:41.258000,0 days 00:33:10.635000
