LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
22.0,RIC,0 days 01:45:17.945000,6.0,0 days 01:12:53.482000,-1 days +23:27:35.537000
22.0,RIC,0 days 01:45:17.945000,23.0,0 days 01:45:41.258000,0 days 00:00:23.313000
8.0,SAR,0 days 01:18:13.666000,9.0,0 days 01:18:37.275000,0 days 00:00:23.609000
8.0,SAR,0 days 01:18:13.666000,25.0,0 days 01:49:32.817000,0 days 00:31:19.151000
8.0,SAR,0 days 01:18:13.666000,35.0,0 days 02:08:31.758000,0 days 00:50:18.092000
24.0,SAR,0 days 01:49:08.849000,9.0,0 days 01:18:37.275000,-1 days +23:29:28.426000
24.0,SAR,0 days 01:49:08.849000,25.0,0 days 01:49:32.817000,0 days 00:00:23.968000
24.0,SAR,0 days 01:49:08.849000,35.0,0 days 02:08:31.758000,0 days 00:19:22.909000
34.0,SAR,0 days 02:08:08.618000,9.0,0 days 01:18:37.275000,-1 days +23:10:28.657000
34.0,SAR,0 days 02:08:08.618000,25.0,0 days 01:49:32.817000,-1 days +23:41:24.199000
34.0,SAR,0 days 02:08:08.618000,35.0,0 days 02:08:31.758000,0 days 00:00:23.140000
12.0,HUL,0 days 01:25:55.317000,1.0,0 days 01:02:58.098000,-1 days +23:37:02.781000
12.0,HUL,0 days 01:25:55.317000,13.0,0 days 01:26:19.880000,0 days 00:00:24.563000
12.0,HUL,0 days 01:25:55.317000,25.0,0 days 01:49:28.411000,0 days 00:23:33.094000
24.0,HUL,0 days 01:49:03.302000,1.0,0 days 01:02:58.098000,-1 days +23:13:54.796000
24.0,HUL,0 days 01:49:03.302000,13.0,0 days 01:26:19.880000,-1 days +23:37:16.578000
24.0,HUL,0 days 01:49:03.302000,25.0,0 days 01:49:28.411000,0 days 00:00:25.109000
7.0,SAI,0 days 01:16:19.636000,8.0,0 days 01:16:42.871000,0 days 00:00:23.235000
23.0,SAI,0 days 01:47:34.913000,8.0,0 days 01:16:42.871000,-1 days +23:29:07.958000
