LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration,Season
15.0,VER,0 days 01:33:57.329000,16.0,0 days 01:34:20.284000,0 days 00:00:22.955000,2022
30.0,VER,0 days 02:02:18.225000,31.0,0 days 02:02:40.574000,0 days 00:00:22.349000,2022
10.0,GAS,0 days 01:24:50.072000,11.0,0 days 01:25:12.903000,0 days 00:00:22.831000,2022
22.0,GAS,0 days 01:48:05.809000,23.0,0 days 01:48:28.371000,0 days 00:00:22.562000,2022
14.0,PER,0 days 01:32:07.821000,15.0,0 days 01:32:30.173000,0 days 00:00:22.352000,2022
27.0,PER,0 days 01:56:52.646000,28.0,0 days 01:57:15.322000,0 days 00:00:22.676000,2022
11.0,ALO,0 days 01:26:31.530000,12.0,0 days 01:26:54.140000,0 days 00:00:22.610000,2022
25.0,ALO,0 days 01:53:38.554000,26.0,0 days 01:54:02.548000,0 days 00:00:23.994000,2022
3.0,LEC,0 days 01:10:12.741000,4.0,0 days 01:10:36.969000,0 days 00:00:24.228000,2022
25.0,LEC,0 days 01:53:30.022000,26.0,0 days 01:53:53.209000,0 days 00:00:23.187000,2022
42.0,LEC,0 days 02:25:45.177000,43.0,0 days 02:26:08.535000,0 days 00:00:23.358000,2022
15.0,STR,0 days 01:34:24.300000,16.0,0 days 01:34:47.873000,0 days 00:00:23.573000,2022
26.0,STR,0 days 01:55:48.380000,27.0,0 days 01:56:11.620000,0 days 00:00:23.240000,2022
11.0,MAG,0 days 01:26:45.598000,12.0,0 days 01:27:12.388000,0 days 00:00:26.790000,2022
27.0,MAG,0 days 01:57:53.219000,28.0,0 days 01:58:16.638000,0 days 00:00:23.419000,2022
18.0,TSU,0 days 01:40:16.185000,19.0,0 days 01:40:46.234000,0 days 00:00:30.049000,2022
30.0,TSU,0 days 02:03:30.580000,31.0,0 days 02:03:54.816000,0 days 00:00:24.236000,2022
10.0,ALB,0 days 01:24:41.502000,11.0,0 days 01:25:04.836000,0 days 00:00:23.334000,2022
26.0,ALB,0 days 01:55:46.581000,27.0,0 days 01:56:10.981000,0 days 00:00:24.400000,2022
14.0,ZHO,0 days 01:32:32.252000,15.0,0 days 01:32:55.993000,0 days 00:00:23.741000,2022
28.0,ZHO,0 days 01:59:41.684000,29.0,0 days 02:00:05.070000,0 days 00:00:23.386000,2022
12.0,RIC,0 days 01:28:33.798000,13.0,0 days 01:28:56.880000,0 days 00:00:23.082000,2022
32.0,RIC,0 days 02:07:17.276000,33.0,0 days 02:07:40.425000,0 days 00:00:23.149000,2022
12.0,OCO,0 days 01:28:35.415000,13.0,0 days 01:28:58.940000,0 days 00:00:23.525000,2022
32.0,OCO,0 days 02:07:04.857000,33.0,0 days 02:07:28.364000,0 days 00:00:23.507000,2022
13.0,NOR,0 days 01:30:34.538000,14.0,0 days 01:30:57.544000,0 days 00:00:23.006000,2022
29.0,NOR,0 days 02:01:34.206000,30.0,0 days 02:01:57.872000,0 days 00:00:23.666000,2022
14.0,MSC,0 days 01:32:43.100000,15.0,0 days 01:33:07.275000,0 days 00:00:24.175000,2022
30.0,MSC,0 days 02:03:46.079000,31.0,0 days 02:04:10.933000,0 days 00:00:24.854000,2022
14.0,VET,0 days 01:32:20.672000,15.0,0 days 01:32:43.917000,0 days 00:00:23.245000,2022
33.0,VET,0 days 02:08:55.584000,34.0,0 days 02:09:18.445000,0 days 00:00:22.861000,2022
11.0,SAI,0 days 01:26:21.052000,12.0,0 days 01:26:43.603000,0 days 00:00:22.551000,2022
25.0,SAI,0 days 01:53:10.184000,26.0,0 days 01:53:32.964000,0 days 00:00:22.780000,2022
3.0,LAT,0 days 01:10:25.366000,4.0,0 days 01:11:01.102000,0 days 00:00:35.736000,2022
15.0,LAT,0 days 01:34:37.793000,16.0,0 days 01:35:01.944000,0 days 00:00:24.151000,2022
34.0,LAT,0 days 02:11:36.271000,35.0,0 days 02:11:59.677000,0 days 00:00:23.406000,2022
13.0,RUS,0 days 01:30:16.013000,14.0,0 days 01:30:38.823000,0 days 00:00:22.810000,2022
29.0,RUS,0 days 02:00:48.858000,30.0,0 days 02:01:11.863000,0 days 00:00:23.005000,2022
