LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
15.0,STR,0 days 01:34:24.300000,16.0,0 days 01:34:47.873000,0 days 00:00:23.573000
15.0,STR,0 days 01:34:24.300000,27.0,0 days 01:56:11.620000,0 days 00:21:47.320000
26.0,STR,0 days 01:55:48.380000,16.0,0 days 01:34:47.873000,-1 days +23:38:59.493000
26.0,STR,0 days 01:55:48.380000,27.0,0 days 01:56:11.620000,0 days 00:00:23.240000
11.0,MAG,0 days 01:26:45.598000,12.0,0 days 01:27:12.388000,0 days 00:00:26.790000
11.0,MAG,0 days 01:26:45.598000,28.0,0 days 01:58:16.638000,0 days 00:31:31.040000
27.0,MAG,0 days 01:57:53.219000,12.0,0 days 01:27:12.388000,-1 days +23:29:19.169000
27.0,MAG,0 days 01:57:53.219000,28.0,0 days 01:58:16.638000,0 days 00:00:23.419000
18.0,TSU,0 days 01:40:16.185000,1.0,0 days 01:02:56.704000,-1 days +23:22:40.519000
18.0,TSU,0 days 01:40:16.185000,19.0,0 days 01:40:46.234000,0 days 00:00:30.049000
18.0,TSU,0 days 01:40:16.185000,31.0,0 days 02:03:54.816000,0 days 00:23:38.631000
30.0,TSU,0 days 02:03:30.580000,1.0,0 days 01:02:56.704000,-1 days +22:59:26.124000
30.0,TSU,0 days 02:03:30.580000,19.0,0 days 01:40:46.234000,-1 days +23:37:15.654000
30.0,TSU,0 days 02:03:30.580000,31.0,0 days 02:03:54.816000,0 days 00:00:24.236000
10.0,ALB,0 days 01:24:41.502000,11.0,0 days 01:25:04.836000,0 days 00:00:23.334000
10.0,ALB,0 days 01:24:41.502000,27.0,0 days 01:56:10.981000,0 days 00:31:29.479000
26.0,ALB,0 days 01:55:46.581000,11.0,0 days 01:25:04.836000,-1 days +23:29:18.255000
26.0,ALB,0 days 01:55:46.581000,27.0,0 days 01:56:10.981000,0 days 00:00:24.400000
14.0,ZHO,0 days 01:32:32.252000,15.0,0 days 01:32:55.993000,0 days 00:00:23.741000
14.0,ZHO,0 days 01:32:32.252000,29.0,0 days 02:00:05.070000,0 days 00:27:32.818000
28.0,ZHO,0 days 01:59:41.684000,15.0,0 days 01:32:55.993000,-1 days +23:33:14.309000
28.0,ZHO,0 days 01:59:41.684000,29.0,0 days 02:00:05.070000,0 days 00:00:23.386000
12.0,RIC,0 days 01:28:33.798000,13.0,0 days 01:28:56.880000,0 days 00:00:23.082000
12.0,RIC,0 days 01:28:33.798000,33.0,0 days 02:07:40.425000,0 days 00:39:06.627000
32.0,RIC,0 days 02:07:17.276000,13.0,0 days 01:28:56.880000,-1 days +23:21:39.604000
32.0,RIC,0 days 02:07:17.276000,33.0,0 days 02:07:40.425000,0 days 00:00:23.149000
12.0,OCO,0 days 01:28:35.415000,13.0,0 days 01:28:58.940000,0 days 00:00:23.525000
12.0,OCO,0 days 01:28:35.415000,33.0,0 days 02:07:28.364000,0 days 00:38:52.949000
32.0,OCO,0 days 02:07:04.857000,13.0,0 days 01:28:58.940000,-1 days +23:21:54.083000
32.0,OCO,0 days 02:07:04.857000,33.0,0 days 02:07:28.364000,0 days 00:00:23.507000
13.0,NOR,0 days 01:30:34.538000,14.0,0 days 01:30:57.544000,0 days 00:00:23.006000
13.0,NOR,0 days 01:30:34.538000,30.0,0 days 02:01:57.872000,0 days 00:31:23.334000
29.0,NOR,0 days 02:01:34.206000,14.0,0 days 01:30:57.544000,-1 days +23:29:23.338000
29.0,NOR,0 days 02:01:34.206000,30.0,0 days 02:01:57.872000,0 days 00:00:23.666000
14.0,MSC,0 days 01:32:43.100000,15.0,0 days 01:33:07.275000,0 days 00:00:24.175000
14.0,MSC,0 days 01:32:43.100000,31.0,0 days 02:04:10.933000,0 days 00:31:27.833000
30.0,MSC,0 days 02:03:46.079000,15.0,0 days 01:33:07.275000,-1 days +23:29:21.196000
30.0,MSC,0 days 02:03:46.079000,31.0,0 days 02:04:10.933000,0 days 00:00:24.854000
14.0,VET,0 days 01:32:20.672000,15.0,0 days 01:32:43.917000,0 days 00:00:23.245000
14.0,VET,0 days 01:32:20.672000,34.0,0 days 02:09:18.445000,0 days 00:36:57.773000
33.0,VET,0 days 02:08:55.584000,15.0,0 days 01:32:43.917000,-1 days +23:23:48.333000
33.0,VET,0 days 02:08:55.584000,34.0,0 days 02:09:18.445000,0 days 00:00:22.861000
11.0,SAI,0 days 01:26:21.052000,12.0,0 days 01:26:43.603000,0 days 00:00:22.551000
11.0,SAI,0 days 01:26:21.052000,26.0,0 days 01:53:32.964000,0 days 00:27:11.912000
25.0,SAI,0 days 01:53:10.184000,12.0,0 days 01:26:43.603000,-1 days +23:33:33.419000
25.0,SAI,0 days 01:53:10.184000,26.0,0 days 01:53:32.964000,0 days 00:00:22.780000
3.0,LAT,0 days 01:10:25.366000,4.0,0 days 01:11:01.102000,0 days 00:00:35.736000
3.0,LAT,0 days 01:10:25.366000,16.0,0 days 01:35:01.944000,0 days 00:24:36.578000
3.0,LAT,0 days 01:10:25.366000,35.0,0 days 02:11:59.677000,0 days 01:01:34.311000
15.0,LAT,0 days 01:34:37.793000,4.0,0 days 01:11:01.102000,-1 days +23:36:23.309000
15.0,LAT,0 days 01:34:37.793000,16.0,0 days 01:35:01.944000,0 days 00:00:24.151000
15.0,LAT,0 days 01:34:37.793000,35.0,0 days 02:11:59.677000,0 days 00:37:21.884000
34.0,LAT,0 days 02:11:36.271000,4.0,0 days 01:11:01.102000,-1 days +22:59:24.831000
34.0,LAT,0 days 02:11:36.271000,16.0,0 days 01:35:01.944000,-1 days +23:23:25.673000
34.0,LAT,0 days 02:11:36.271000,35.0,0 days 02:11:59.677000,0 days 00:00:23.406000
13.0,RUS,0 days 01:30:16.013000,14.0,0 days 01:30:38.823000,0 days 00:00:22.810000
13.0,RUS,0 days 01:30:16.013000,30.0,0 days 02:01:11.863000,0 days 00:30:55.850000
29.0,RUS,0 days 02:00:48.858000,14.0,0 days 01:30:38.823000,-1 days +23:29:49.965000
29.0,RUS,0 days 02:00:48.858000,30.0,0 days 02:01:11.863000,0 days 00:00:23.005000
