LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
15.0,VER,0 days 01:33:57.329000,16.0,0 days 01:34:20.284000,0 days 00:00:22.955000
15.0,VER,0 days 01:33:57.329000,31.0,0 days 02:02:40.574000,0 days 00:28:43.245000
30.0,VER,0 days 02:02:18.225000,16.0,0 days 01:34:20.284000,-1 days +23:32:02.059000
30.0,VER,0 days 02:02:18.225000,31.0,0 days 02:02:40.574000,0 days 00:00:22.349000
10.0,GAS,0 days 01:24:50.072000,1.0,0 days 01:02:57.308000,-1 days +23:38:07.236000
10.0,GAS,0 days 01:24:50.072000,11.0,0 days 01:25:12.903000,0 days 00:00:22.831000
10.0,GAS,0 days 01:24:50.072000,23.0,0 days 01:48:28.371000,0 days 00:23:38.299000
22.0,GAS,0 days 01:48:05.809000,1.0,0 days 01:02:57.308000,-1 days +23:14:51.499000
22.0,GAS,0 days 01:48:05.809000,11.0,0 days 01:25:12.903000,-1 days +23:37:07.094000
22.0,GAS,0 days 01:48:05.809000,23.0,0 days 01:48:28.371000,0 days 00:00:22.562000
14.0,PER,0 days 01:32:07.821000,15.0,0 days 01:32:30.173000,0 days 00:00:22.352000
14.0,PER,0 days 01:32:07.821000,28.0,0 days 01:57:15.322000,0 days 00:25:07.501000
27.0,PER,0 days 01:56:52.646000,15.0,0 days 01:32:30.173000,-1 days +23:35:37.527000
27.0,PER,0 days 01:56:52.646000,28.0,0 days 01:57:15.322000,0 days 00:00:22.676000
11.0,ALO,0 days 01:26:31.530000,12.0,0 days 01:26:54.140000,0 days 00:00:22.610000
11.0,ALO,0 days 01:26:31.530000,26.0,0 days 01:54:02.548000,0 days 00:27:31.018000
25.0,ALO,0 days 01:53:38.554000,12.0,0 days 01:26:54.140000,-1 days +23:33:15.586000
25.0,ALO,0 days 01:53:38.554000,26.0,0 days 01:54:02.548000,0 days 00:00:23.994000
3.0,LEC,0 days 01:10:12.741000,4.0,0 days 01:10:36.969000,0 days 00:00:24.228000
3.0,LEC,0 days 01:10:12.741000,26.0,0 days 01:53:53.209000,0 days 00:43:40.468000
3.0,LEC,0 days 01:10:12.741000,43.0,0 days 02:26:08.535000,0 days 01:15:55.794000
25.0,LEC,0 days 01:53:30.022000,4.0,0 days 01:10:36.969000,-1 days +23:17:06.947000
25.0,LEC,0 days 01:53:30.022000,26.0,0 days 01:53:53.209000,0 days 00:00:23.187000
25.0,LEC,0 days 01:53:30.022000,43.0,0 days 02:26:08.535000,0 days 00:32:38.513000
42.0,LEC,0 days 02:25:45.177000,4.0,0 days 01:10:36.969000,-1 days +22:44:51.792000
42.0,LEC,0 days 02:25:45.177000,26.0,0 days 01:53:53.209000,-1 days +23:28:08.032000
42.0,LEC,0 days 02:25:45.177000,43.0,0 days 02:26:08.535000,0 days 00:00:23.358000
