LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration,Season
1.0,VET,0 days 00:21:00.165000,2.0,0 days 00:21:19.726000,0 days 00:00:19.561000,2018
22.0,VET,0 days 01:02:33.922000,23.0,0 days 01:02:56.048000,0 days 00:00:22.126000,2018
1.0,HAM,0 days 00:21:01.945000,2.0,0 days 00:21:21.336000,0 days 00:00:19.391000,2018
21.0,HAM,0 days 01:00:48.913000,22.0,0 days 01:01:11.181000,0 days 00:00:22.268000,2018
1.0,VER,0 days 00:21:05.134000,2.0,0 days 00:21:24.999000,0 days 00:00:19.865000,2018
26.0,VER,0 days 01:10:08.725000,27.0,0 days 01:10:30.975000,0 days 00:00:22.250000,2018
1.0,BOT,0 days 00:21:20.298000,2.0,0 days 00:21:40.510000,0 days 00:00:20.212000,2018
2.0,BOT,0 days 00:24:21.912000,3.0,0 days 00:24:52.320000,0 days 00:00:30.408000,2018
29.0,BOT,0 days 01:16:03.877000,30.0,0 days 01:16:26.159000,0 days 00:00:22.282000,2018
1.0,PER,0 days 00:21:02.944000,2.0,0 days 00:21:22.822000,0 days 00:00:19.878000,2018
25.0,PER,0 days 01:08:39.450000,26.0,0 days 01:09:02.500000,0 days 00:00:23.050000,2018
1.0,OCO,0 days 00:21:03.850000,2.0,0 days 00:21:23.399000,0 days 00:00:19.549000,2018
24.0,OCO,0 days 01:06:55.302000,25.0,0 days 01:07:18.414000,0 days 00:00:23.112000,2018
1.0,GRO,0 days 00:21:06.226000,2.0,0 days 00:21:26.368000,0 days 00:00:20.142000,2018
23.0,GRO,0 days 01:05:11.855000,24.0,0 days 01:05:34.373000,0 days 00:00:22.518000,2018
1.0,MAG,0 days 00:21:07.835000,2.0,0 days 00:21:27.758000,0 days 00:00:19.923000,2018
26.0,MAG,0 days 01:10:50.306000,27.0,0 days 01:11:14.478000,0 days 00:00:24.172000,2018
1.0,GAS,0 days 00:21:09.867000,2.0,0 days 00:21:29.870000,0 days 00:00:20.003000,2018
25.0,GAS,0 days 01:09:03.670000,26.0,0 days 01:09:26.486000,0 days 00:00:22.816000,2018
1.0,ERI,0 days 00:21:11.617000,2.0,0 days 00:21:31.321000,0 days 00:00:19.704000,2018
26.0,ERI,0 days 01:10:55.994000,27.0,0 days 01:11:18.557000,0 days 00:00:22.563000,2018
1.0,SAI,0 days 00:21:18.602000,2.0,0 days 00:21:37.025000,0 days 00:00:18.423000,2018
22.0,SAI,0 days 01:03:45.427000,23.0,0 days 01:04:09.179000,0 days 00:00:23.752000,2018
1.0,SIR,0 days 00:21:12.992000,2.0,0 days 00:21:32.573000,0 days 00:00:19.581000,2018
24.0,SIR,0 days 01:07:23.399000,25.0,0 days 01:07:45.587000,0 days 00:00:22.188000,2018
1.0,STR,0 days 00:21:14.008000,2.0,0 days 00:21:33.635000,0 days 00:00:19.627000,2018
23.0,STR,0 days 01:05:34.405000,24.0,0 days 01:05:57.252000,0 days 00:00:22.847000,2018
1.0,HAR,0 days 00:21:17.227000,2.0,0 days 00:21:35.183000,0 days 00:00:17.956000,2018
31.0,HAR,0 days 01:20:30.195000,32.0,0 days 01:20:59.024000,0 days 00:00:28.829000,2018
1.0,VAN,0 days 00:21:21.913000,2.0,0 days 00:21:41.650000,0 days 00:00:19.737000,2018
2.0,VAN,0 days 00:24:22.819000,3.0,0 days 00:24:45.660000,0 days 00:00:22.841000,2018
28.0,VAN,0 days 01:15:09.827000,29.0,0 days 01:15:33.233000,0 days 00:00:23.406000,2018
1.0,RIC,0 days 00:21:15.463000,2.0,0 days 00:27:51.251000,0 days 00:06:35.788000,2018
1.0,RAI,0 days 00:21:58.335000,2.0,0 days 00:22:24.560000,0 days 00:00:26.225000,2018
7.0,RAI,0 days 00:35:51.921000,8.0,0 days 00:36:26.391000,0 days 00:00:34.470000,2018
