LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration,Season
14.0,VER,0 days 01:29:04.112000,15.0,0 days 01:29:27.018000,0 days 00:00:22.906000,2023
30.0,VER,0 days 01:59:15.280000,31.0,0 days 01:59:38.280000,0 days 00:00:23,2023
13.0,PER,0 days 01:27:09.114000,14.0,0 days 01:27:32.801000,0 days 00:00:23.687000,2023
29.0,PER,0 days 01:57:33.375000,30.0,0 days 01:57:56.062000,0 days 00:00:22.687000,2023
13.0,LEC,0 days 01:27:15.317000,14.0,0 days 01:27:38.535000,0 days 00:00:23.218000,2023
28.0,LEC,0 days 01:55:47.360000,29.0,0 days 01:56:10.532000,0 days 00:00:23.172000,2023
12.0,HAM,0 days 01:25:26.568000,13.0,0 days 01:25:49.661000,0 days 00:00:23.093000,2023
27.0,HAM,0 days 01:53:59.127000,28.0,0 days 01:54:22.174000,0 days 00:00:23.047000,2023
42.0,HAM,0 days 02:22:04.327000,43.0,0 days 02:22:27.483000,0 days 00:00:23.156000,2023
10.0,ALO,0 days 01:21:47.539000,11.0,0 days 01:22:10.664000,0 days 00:00:23.125000,2023
29.0,ALO,0 days 01:58:00.656000,30.0,0 days 01:58:24.468000,0 days 00:00:23.812000,2023
22.0,RUS,0 days 01:44:59.883000,23.0,0 days 01:45:23.711000,0 days 00:00:23.828000,2023
5.0,NOR,0 days 01:12:26.655000,6.0,0 days 01:12:51.639000,0 days 00:00:24.984000,2023
17.0,NOR,0 days 01:35:36.639000,18.0,0 days 01:36:00.389000,0 days 00:00:23.750000,2023
6.0,OCO,0 days 01:14:23.044000,7.0,0 days 01:14:46.122000,0 days 00:00:23.078000,2023
25.0,OCO,0 days 01:50:49.770000,26.0,0 days 01:51:13.113000,0 days 00:00:23.343000,2023
20.0,STR,0 days 01:41:11.885000,21.0,0 days 01:41:37.213000,0 days 00:00:25.328000,2023
9.0,TSU,0 days 01:19:58.197000,10.0,0 days 01:20:20.821000,0 days 00:00:22.624000,2023
24.0,TSU,0 days 01:48:51.662000,25.0,0 days 01:49:14.411000,0 days 00:00:22.749000,2023
23.0,GAS,0 days 01:46:59.804000,24.0,0 days 01:47:25.460000,0 days 00:00:25.656000,2023
6.0,BOT,0 days 01:14:23.935000,7.0,0 days 01:14:47.325000,0 days 00:00:23.390000,2023
24.0,BOT,0 days 01:49:01.630000,25.0,0 days 01:49:25.443000,0 days 00:00:23.813000,2023
7.0,ZHO,0 days 01:16:20.480000,8.0,0 days 01:16:44.902000,0 days 00:00:24.422000,2023
25.0,ZHO,0 days 01:51:00.598000,26.0,0 days 01:51:24.629000,0 days 00:00:24.031000,2023
7.0,ALB,0 days 01:16:13.652000,8.0,0 days 01:16:38.667000,0 days 00:00:25.015000,2023
23.0,ALB,0 days 01:47:01.600000,24.0,0 days 01:47:25.210000,0 days 00:00:23.610000,2023
33.0,ALB,0 days 02:06:05.650000,34.0,0 days 02:06:29.197000,0 days 00:00:23.547000,2023
5.0,MAG,0 days 01:12:29.967000,6.0,0 days 01:12:53.607000,0 days 00:00:23.640000,2023
25.0,MAG,0 days 01:50:54.317000,26.0,0 days 01:51:17.816000,0 days 00:00:23.499000,2023
5.0,RIC,0 days 01:12:30.623000,6.0,0 days 01:12:53.482000,0 days 00:00:22.859000,2023
22.0,RIC,0 days 01:45:17.945000,23.0,0 days 01:45:41.258000,0 days 00:00:23.313000,2023
8.0,SAR,0 days 01:18:13.666000,9.0,0 days 01:18:37.275000,0 days 00:00:23.609000,2023
24.0,SAR,0 days 01:49:08.849000,25.0,0 days 01:49:32.817000,0 days 00:00:23.968000,2023
34.0,SAR,0 days 02:08:08.618000,35.0,0 days 02:08:31.758000,0 days 00:00:23.140000,2023
12.0,HUL,0 days 01:25:55.317000,13.0,0 days 01:26:19.880000,0 days 00:00:24.563000,2023
24.0,HUL,0 days 01:49:03.302000,25.0,0 days 01:49:28.411000,0 days 00:00:25.109000,2023
7.0,SAI,0 days 01:16:19.636000,8.0,0 days 01:16:42.871000,0 days 00:00:23.235000,2023
