LapNumber,Driver,Team,LapTime,Position,IsPersonalBest,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time
1.0,HAM,Mercedes,0 days 00:01:52.700000,2.0,False,MEDIUM,1.0,,0 days 00:00:49.406000,0 days 00:00:29.478000
2.0,HAM,Mercedes,0 days 00:01:49.849000,2.0,True,MEDIUM,2.0,0 days 00:00:31.284000,0 days 00:00:49.211000,0 days 00:00:29.354000
3.0,HAM,Mercedes,0 days 00:01:49.109000,1.0,True,MEDIUM,3.0,0 days 00:00:31.215000,0 days 00:00:48.486000,0 days 00:00:29.408000
4.0,HAM,Mercedes,0 days 00:01:49.808000,1.0,False,MEDIUM,4.0,0 days 00:00:31.754000,0 days 00:00:48.605000,0 days 00:00:29.449000
5.0,HAM,Mercedes,0 days 00:01:49.376000,1.0,False,MEDIUM,5.0,0 days 00:00:31.592000,0 days 00:00:48.320000,0 days 00:00:29.464000
6.0,HAM,Mercedes,0 days 00:01:49.400000,1.0,False,MEDIUM,6.0,0 days 00:00:31.618000,0 days 00:00:48.355000,0 days 00:00:29.427000
7.0,HAM,Mercedes,0 days 00:01:49.357000,1.0,False,MEDIUM,7.0,0 days 00:00:31.662000,0 days 00:00:48.124000,0 days 00:00:29.571000
8.0,HAM,Mercedes,0 days 00:01:49.666000,1.0,False,MEDIUM,8.0,0 days 00:00:31.646000,0 days 00:00:48.515000,0 days 00:00:29.505000
9.0,HAM,Mercedes,0 days 00:01:49.704000,1.0,False,MEDIUM,9.0,0 days 00:00:31.616000,0 days 00:00:48.572000,0 days 00:00:29.516000
10.0,HAM,Mercedes,0 days 00:01:49.951000,1.0,False,MEDIUM,10.0,0 days 00:00:31.625000,0 days 00:00:48.752000,0 days 00:00:29.574000
11.0,HAM,Mercedes,0 days 00:01:54.328000,2.0,False,MEDIUM,11.0,0 days 00:00:31.618000,0 days 00:00:48.726000,0 days 00:00:33.984000
12.0,HAM,Mercedes,0 days 00:02:04.792000,5.0,False,HARD,1.0,0 days 00:00:46.008000,0 days 00:00:49.504000,0 days 00:00:29.280000
13.0,HAM,Mercedes,0 days 00:01:48.204000,3.0,False,HARD,2.0,0 days 00:00:31.262000,0 days 00:00:47.833000,0 days 00:00:29.109000
14.0,HAM,Mercedes,0 days 00:01:48.124000,3.0,True,HARD,3.0,0 days 00:00:31.323000,0 days 00:00:47.550000,0 days 00:00:29.251000
15.0,HAM,Mercedes,0 days 00:01:48.150000,3.0,False,HARD,4.0,0 days 00:00:31.380000,0 days 00:00:47.556000,0 days 00:00:29.214000
16.0,HAM,Mercedes,0 days 00:01:47.973000,2.0,True,HARD,5.0,0 days 00:00:31.381000,0 days 00:00:47.444000,0 days 00:00:29.148000
17.0,HAM,Mercedes,0 days 00:01:47.957000,2.0,True,HARD,6.0,0 days 00:00:31.418000,0 days 00:00:47.512000,0 days 00:00:29.027000
18.0,HAM,Mercedes,0 days 00:01:47.910000,2.0,True,HARD,7.0,0 days 00:00:31.287000,0 days 00:00:47.481000,0 days 00:00:29.142000
19.0,HAM,Mercedes,0 days 00:01:48.040000,2.0,False,HARD,8.0,0 days 00:00:31.360000,0 days 00:00:47.575000,0 days 00:00:29.105000
20.0,HAM,Mercedes,0 days 00:01:48.237000,1.0,False,HARD,9.0,0 days 00:00:31.378000,0 days 00:00:47.684000,0 days 00:00:29.175000
21.0,HAM,Mercedes,0 days 00:01:48.396000,1.0,False,HARD,10.0,0 days 00:00:31.497000,0 days 00:00:47.602000,0 days 00:00:29.297000
22.0,HAM,Mercedes,0 days 00:01:48.368000,1.0,False,HARD,11.0,0 days 00:00:31.443000,0 days 00:00:47.622000,0 days 00:00:29.303000
23.0,HAM,Mercedes,0 days 00:01:48.338000,1.0,False,HARD,12.0,0 days 00:00:31.486000,0 days 00:00:47.580000,0 days 00:00:29.272000
24.0,HAM,Mercedes,0 days 00:01:48.028000,1.0,False,HARD,13.0,0 days 00:00:31.366000,0 days 00:00:47.535000,0 days 00:00:29.127000
25.0,HAM,Mercedes,0 days 00:01:47.845000,1.0,True,HARD,14.0,0 days 00:00:31.415000,0 days 00:00:47.395000,0 days 00:00:29.035000
26.0,HAM,Mercedes,0 days 00:01:52.047000,1.0,False,HARD,15.0,0 days 00:00:31.359000,0 days 00:00:47.199000,0 days 00:00:33.489000
27.0,HAM,Mercedes,0 days 00:02:01.300000,6.0,False,HARD,1.0,0 days 00:00:45.393000,0 days 00:00:46.984000,0 days 00:00:28.923000
28.0,HAM,Mercedes,0 days 00:01:47.396000,5.0,True,HARD,2.0,0 days 00:00:30.835000,0 days 00:00:47.762000,0 days 00:00:28.799000
