LapNumber,Driver,Team,LapTime,Position,IsPersonalBest,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time
1.0,VET,Ferrari,0 days 00:02:29.572000,1.0,False,nan,,,0 days 00:01:09.227000,0 days 00:00:46.208000
2.0,VET,Ferrari,,1.0,False,nan,,0 days 00:00:59.569000,0 days 00:01:15.386000,0 days 00:00:45.096000
3.0,VET,Ferrari,,1.0,False,SUPERSOFT,5.0,0 days 00:00:53.832000,0 days 00:01:14.346000,0 days 00:00:42.881000
4.0,VET,Ferrari,,1.0,False,SUPERSOFT,6.0,0 days 00:00:50.630000,0 days 00:01:13.585000,0 days 00:00:57.284000
5.0,VET,Ferrari,0 days 00:01:48.656000,1.0,True,SUPERSOFT,7.0,0 days 00:00:31.560000,0 days 00:00:47.948000,0 days 00:00:29.148000
6.0,VET,Ferrari,0 days 00:01:48.923000,1.0,False,SUPERSOFT,8.0,0 days 00:00:31.706000,0 days 00:00:47.823000,0 days 00:00:29.394000
7.0,VET,Ferrari,0 days 00:01:48.695000,1.0,False,SUPERSOFT,9.0,0 days 00:00:31.747000,0 days 00:00:47.660000,0 days 00:00:29.288000
8.0,VET,Ferrari,0 days 00:01:48.646000,1.0,True,SUPERSOFT,10.0,0 days 00:00:31.609000,0 days 00:00:47.746000,0 days 00:00:29.291000
9.0,VET,Ferrari,0 days 00:01:49.046000,1.0,False,SUPERSOFT,11.0,0 days 00:00:31.690000,0 days 00:00:47.915000,0 days 00:00:29.441000
10.0,VET,Ferrari,0 days 00:01:48.749000,1.0,False,SUPERSOFT,12.0,0 days 00:00:31.662000,0 days 00:00:47.794000,0 days 00:00:29.293000
11.0,VET,Ferrari,0 days 00:01:48.495000,1.0,True,SUPERSOFT,13.0,0 days 00:00:31.643000,0 days 00:00:47.665000,0 days 00:00:29.187000
12.0,VET,Ferrari,0 days 00:01:48.663000,1.0,False,SUPERSOFT,14.0,0 days 00:00:31.555000,0 days 00:00:47.841000,0 days 00:00:29.267000
13.0,VET,Ferrari,0 days 00:01:48.732000,1.0,False,SUPERSOFT,15.0,0 days 00:00:31.568000,0 days 00:00:47.809000,0 days 00:00:29.355000
14.0,VET,Ferrari,0 days 00:01:48.748000,1.0,False,SUPERSOFT,16.0,0 days 00:00:31.700000,0 days 00:00:47.753000,0 days 00:00:29.295000
15.0,VET,Ferrari,0 days 00:01:48.679000,1.0,False,SUPERSOFT,17.0,0 days 00:00:31.722000,0 days 00:00:47.694000,0 days 00:00:29.263000
16.0,VET,Ferrari,0 days 00:01:48.399000,1.0,True,SUPERSOFT,18.0,0 days 00:00:31.517000,0 days 00:00:47.604000,0 days 00:00:29.278000
17.0,VET,Ferrari,0 days 00:01:48.667000,1.0,False,SUPERSOFT,19.0,0 days 00:00:31.702000,0 days 00:00:47.632000,0 days 00:00:29.333000
18.0,VET,Ferrari,0 days 00:01:48.600000,1.0,False,SUPERSOFT,20.0,0 days 00:00:31.548000,0 days 00:00:47.848000,0 days 00:00:29.204000
19.0,VET,Ferrari,0 days 00:01:48.933000,1.0,False,SUPERSOFT,21.0,0 days 00:00:31.682000,0 days 00:00:48.015000,0 days 00:00:29.236000
20.0,VET,Ferrari,0 days 00:01:48.781000,1.0,False,SUPERSOFT,22.0,0 days 00:00:31.581000,0 days 00:00:47.934000,0 days 00:00:29.266000
21.0,VET,Ferrari,0 days 00:01:48.710000,1.0,False,SUPERSOFT,23.0,0 days 00:00:31.494000,0 days 00:00:47.932000,0 days 00:00:29.284000
22.0,VET,Ferrari,0 days 00:01:52.901000,1.0,False,SUPERSOFT,24.0,0 days 00:00:31.622000,0 days 00:00:47.804000,0 days 00:00:33.475000
23.0,VET,Ferrari,0 days 00:01:59.728000,1.0,False,SOFT,1.0,0 days 00:00:44.663000,0 days 00:00:46.263000,0 days 00:00:28.802000
24.0,VET,Ferrari,0 days 00:01:46.743000,1.0,True,SOFT,2.0,0 days 00:00:31.384000,0 days 00:00:46.496000,0 days 00:00:28.863000
25.0,VET,Ferrari,0 days 00:01:46.644000,1.0,True,SOFT,3.0,0 days 00:00:31.307000,0 days 00:00:46.518000,0 days 00:00:28.819000
26.0,VET,Ferrari,0 days 00:01:47.027000,1.0,False,SOFT,4.0,0 days 00:00:31.364000,0 days 00:00:46.641000,0 days 00:00:29.022000
27.0,VET,Ferrari,0 days 00:01:47.052000,1.0,False,SOFT,5.0,0 days 00:00:31.298000,0 days 00:00:46.749000,0 days 00:00:29.005000
28.0,VET,Ferrari,0 days 00:01:46.937000,1.0,False,SOFT,6.0,0 days 00:00:31.205000,0 days 00:00:46.837000,0 days 00:00:28.895000
29.0,VET,Ferrari,0 days 00:01:46.972000,1.0,False,SOFT,7.0,0 days 00:00:31.286000,0 days 00:00:46.708000,0 days 00:00:28.978000
30.0,VET,Ferrari,0 days 00:01:46.975000,1.0,False,SOFT,8.0,0 days 00:00:31.244000,0 days 00:00:46.752000,0 days 00:00:28.979000
31.0,VET,Ferrari,0 days 00:01:47.134000,1.0,False,SOFT,9.0,0 days 00:00:31.378000,0 days 00:00:46.801000,0 days 00:00:28.955000
32.0,VET,Ferrari,0 days 00:01:47.168000,1.0,False,SOFT,10.0,0 days 00:00:31.265000,0 days 00:00:46.856000,0 days 00:00:29.047000
33.0,VET,Ferrari,0 days 00:01:47.016000,1.0,False,SOFT,11.0,0 days 00:00:31.267000,0 days 00:00:46.801000,0 days 00:00:28.948000
34.0,VET,Ferrari,0 days 00:01:47.402000,1.0,False,SOFT,12.0,0 days 00:00:31.175000,0 days 00:00:47.294000,0 days 00:00:28.933000
35.0,VET,Ferrari,0 days 00:01:47.390000,1.0,False,SOFT,13.0,0 days 00:00:31.063000,0 days 00:00:47.599000,0 days 00:00:28.728000
36.0,VET,Ferrari,0 days 00:01:47.345000,1.0,False,SOFT,14.0,0 days 00:00:31.102000,0 days 00:00:47.316000,0 days 00:00:28.927000
37.0,VET,Ferrari,0 days 00:01:46.949000,1.0,False,SOFT,15.0,0 days 00:00:31.208000,0 days 00:00:46.684000,0 days 00:00:29.057000
38.0,VET,Ferrari,0 days 00:01:46.783000,1.0,False,SOFT,16.0,0 days 00:00:31.207000,0 days 00:00:46.713000,0 days 00:00:28.863000
39.0,VET,Ferrari,0 days 00:01:46.734000,1.0,False,SOFT,17.0,0 days 00:00:31.219000,0 days 00:00:46.603000,0 days 00:00:28.912000
40.0,VET,Ferrari,0 days 00:01:47.218000,1.0,False,SOFT,18.0,0 days 00:00:31.231000,0 days 00:00:47.030000,0 days 00:00:28.957000
