LapNumber,Driver,Team,LapTime,Position,IsPersonalBest,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time
1.0,GAS,Toro Rosso,0 days 00:02:32.560000,10.0,False,SOFT,1.0,,0 days 00:01:13.370000,0 days 00:00:41.947000
2.0,GAS,Toro Rosso,,9.0,False,SOFT,2.0,0 days 00:01:02.961000,0 days 00:01:13.159000,0 days 00:00:41.609000
3.0,GAS,Toro Rosso,,9.0,False,SOFT,3.0,0 days 00:00:54.315000,0 days 00:01:09.692000,0 days 00:00:54.984000
4.0,GAS,Toro Rosso,,9.0,False,SOFT,4.0,0 days 00:00:44.212000,0 days 00:01:12.377000,0 days 00:00:51.156000
5.0,GAS,Toro Rosso,0 days 00:01:53.821000,9.0,True,SOFT,5.0,0 days 00:00:31.625000,0 days 00:00:51.972000,0 days 00:00:30.224000
6.0,GAS,Toro Rosso,0 days 00:01:52.475000,9.0,True,SOFT,6.0,0 days 00:00:31.545000,0 days 00:00:51.077000,0 days 00:00:29.853000
7.0,GAS,Toro Rosso,0 days 00:01:52.508000,9.0,False,SOFT,7.0,0 days 00:00:31.583000,0 days 00:00:50.960000,0 days 00:00:29.965000
8.0,GAS,Toro Rosso,0 days 00:01:52.155000,9.0,True,SOFT,8.0,0 days 00:00:31.262000,0 days 00:00:51.038000,0 days 00:00:29.855000
9.0,GAS,Toro Rosso,0 days 00:01:51.718000,9.0,True,SOFT,9.0,0 days 00:00:31.374000,0 days 00:00:50.493000,0 days 00:00:29.851000
10.0,GAS,Toro Rosso,0 days 00:01:52.403000,9.0,False,SOFT,10.0,0 days 00:00:31.356000,0 days 00:00:51.011000,0 days 00:00:30.036000
11.0,GAS,Toro Rosso,0 days 00:01:50.616000,8.0,True,SOFT,11.0,0 days 00:00:31.122000,0 days 00:00:49.555000,0 days 00:00:29.939000
12.0,GAS,Toro Rosso,0 days 00:01:50.792000,8.0,False,SOFT,12.0,0 days 00:00:31.977000,0 days 00:00:48.877000,0 days 00:00:29.938000
13.0,GAS,Toro Rosso,0 days 00:01:54.888000,9.0,False,SOFT,13.0,0 days 00:00:31.956000,0 days 00:00:48.808000,0 days 00:00:34.124000
14.0,GAS,Toro Rosso,0 days 00:02:03.004000,16.0,False,MEDIUM,1.0,0 days 00:00:45.339000,0 days 00:00:48.273000,0 days 00:00:29.392000
15.0,GAS,Toro Rosso,0 days 00:01:50.007000,14.0,True,MEDIUM,2.0,0 days 00:00:31.525000,0 days 00:00:49.146000,0 days 00:00:29.336000
16.0,GAS,Toro Rosso,0 days 00:01:51.464000,14.0,False,MEDIUM,3.0,0 days 00:00:30.907000,0 days 00:00:50.914000,0 days 00:00:29.643000
17.0,GAS,Toro Rosso,0 days 00:01:51.501000,13.0,False,MEDIUM,4.0,0 days 00:00:31.227000,0 days 00:00:50.552000,0 days 00:00:29.722000
18.0,GAS,Toro Rosso,0 days 00:01:51.530000,12.0,False,MEDIUM,5.0,0 days 00:00:31.577000,0 days 00:00:50.305000,0 days 00:00:29.648000
