LapNumber,Driver,Team,LapTime,Position,IsPersonalBest,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time
1.0,VER,Red Bull Racing,0 days 00:03:27.071000,1.0,False,WET,2.0,,0 days 00:01:36.992000,0 days 00:00:53.620000
2.0,VER,Red Bull Racing,,1.0,False,WET,3.0,0 days 00:00:54.169000,0 days 00:01:32.540000,0 days 00:00:51.665000
3.0,VER,Red Bull Racing,,1.0,False,WET,4.0,0 days 00:00:52.264000,0 days 00:01:32.729000,0 days 00:00:59.005000
1.0,RUS,Williams,0 days 00:03:29.066000,2.0,False,WET,1.0,,0 days 00:01:36.790000,0 days 00:00:54.536000
2.0,RUS,Williams,,2.0,False,WET,2.0,0 days 00:00:54.706000,0 days 00:01:32.105000,0 days 00:00:51.993000
3.0,RUS,Williams,,2.0,False,WET,3.0,0 days 00:00:51.848000,0 days 00:01:32.934000,0 days 00:00:58.604000
1.0,HAM,Mercedes,0 days 00:03:29.672000,3.0,False,UNKNOWN,1.0,,0 days 00:01:36.890000,0 days 00:00:53.917000
2.0,HAM,Mercedes,,3.0,False,UNKNOWN,2.0,0 days 00:00:55.741000,0 days 00:01:32.236000,0 days 00:00:51.124000
3.0,HAM,Mercedes,,3.0,False,UNKNOWN,3.0,0 days 00:00:53.382000,0 days 00:01:31.206000,0 days 00:01:00.572000
1.0,RIC,McLaren,0 days 00:03:31.567000,4.0,False,UNKNOWN,1.0,,0 days 00:01:36.334000,0 days 00:00:54.696000
2.0,RIC,McLaren,,4.0,False,UNKNOWN,2.0,0 days 00:00:55.219000,0 days 00:01:31.923000,0 days 00:00:52.045000
3.0,RIC,McLaren,,4.0,False,UNKNOWN,3.0,0 days 00:00:54.072000,0 days 00:01:30.090000,0 days 00:01:02.308000
1.0,VET,Aston Martin,0 days 00:03:34.550000,5.0,False,UNKNOWN,1.0,,0 days 00:01:37.122000,0 days 00:00:55.188000
2.0,VET,Aston Martin,,5.0,False,UNKNOWN,2.0,0 days 00:00:54.306000,0 days 00:01:32.277000,0 days 00:00:51.913000
3.0,VET,Aston Martin,,5.0,False,UNKNOWN,3.0,0 days 00:00:52.916000,0 days 00:01:31.267000,0 days 00:01:04.298000
1.0,GAS,AlphaTauri,0 days 00:03:37.248000,6.0,False,UNKNOWN,1.0,,0 days 00:01:36.460000,0 days 00:00:56.332000
2.0,GAS,AlphaTauri,,6.0,False,UNKNOWN,2.0,0 days 00:00:54.363000,0 days 00:01:30.553000,0 days 00:00:54.368000
3.0,GAS,AlphaTauri,,6.0,False,UNKNOWN,3.0,0 days 00:00:51.854000,0 days 00:01:30.865000,0 days 00:01:06.519000
