Driver,DriverNumber
HAM,44
PIA,81
LEC,16
VER,1
NOR,4
SAI,55
PER,11
ALO,14
OCO,31
RIC,3
STR,18
ALB,23
GAS,10
MAG,20
BOT,77
TSU,22
SAR,2
HUL,27
ZHO,24
RUS,63
