Driver,DriverNumber
VET,5
HAM,44
VER,33
BOT,77
PER,11
OCO,31
GRO,8
MAG,20
GAS,10
ERI,9
SAI,55
SIR,35
STR,18
HAR,28
VAN,2
RIC,3
RAI,7
LEC,16
ALO,14
HUL,27
