Driver,DriverNumber
VER,33
RUS,63
HAM,44
RIC,3
VET,5
GAS,10
OCO,31
LEC,16
LAT,6
SAI,55
ALO,14
BOT,77
GIO,99
NOR,4
TSU,22
MSC,47
MAZ,9
RAI,7
PER,11
STR,18
