Driver,DriverNumber
GAS,10
PER,11
LEC,16
STR,18
MAG,20
ALB,23
KVY,26
RIC,3
OCO,31
VER,33
NOR,4
HAM,44
VET,5
SAI,55
LAT,6
RUS,63
RAI,7
BOT,77
GRO,8
GIO,99
