Driver,DriverNumber
VER,1
PER,11
LEC,16
HAM,44
ALO,14
RUS,63
NOR,4
OCO,31
STR,18
TSU,22
GAS,10
BOT,77
ZHO,24
ALB,23
MAG,20
RIC,3
SAR,2
HUL,27
SAI,55
PIA,81
