Driver,DriverNumber
GAS,10
PER,11
LEC,16
STR,18
MAG,20
ALB,23
KVY,26
HUL,27
RIC,3
VER,33
NOR,4
HAM,44
VET,5
SAI,55
RUS,63
RAI,7
BOT,77
GRO,8
KUB,88
GIO,99
